symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-01-24 00:00:00+00:00,345.89,354.75,343.52,354.58,5251654,23.0593333333,23.65,22.9013333333,23.6386666667,78774810,0.0,1.0
TSLA,2018-01-25 00:00:00+00:00,337.64,349.2,336.4,348.27,6640964,22.5093333333,23.28,22.4266666667,23.218,99614460,0.0,1.0
TSLA,2018-01-26 00:00:00+00:00,342.85,344.0,335.71,341.5,4515013,22.8566666667,22.9333333333,22.3806666667,22.7666666667,67725195,0.0,1.0
TSLA,2018-01-29 00:00:00+00:00,349.53,350.85,338.28,339.85,4722025,23.302,23.39,22.552,22.6566666667,70830375,0.0,1.0
TSLA,2018-01-30 00:00:00+00:00,345.82,348.27,342.17,345.14,4696465,23.0546666667,23.218,22.8113333333,23.0093333333,70446975,0.0,1.0
TSLA,2018-01-31 00:00:00+00:00,354.31,356.19,345.19,347.51,6076998,23.6206666667,23.746,23.0126666667,23.1673333333,91154970,0.0,1.0
TSLA,2018-02-01 00:00:00+00:00,349.25,359.66,348.63,351.0,4163194,23.2833333333,23.9773333333,23.242,23.4,62447910,0.0,1.0
TSLA,2018-02-02 00:00:00+00:00,343.75,351.95,340.51,348.44,3674909,22.9166666667,23.4633333333,22.7006666667,23.2293333333,55123635,0.0,1.0
TSLA,2018-02-05 00:00:00+00:00,333.13,344.47,333.0,337.97,4053777,22.2086666667,22.9646666667,22.2,22.5313333333,60806655,0.0,1.0
TSLA,2018-02-06 00:00:00+00:00,333.97,336.22,323.5,325.21,4937928,22.2646666667,22.4146666667,21.5666666667,21.6806666667,74068920,0.0,1.0
TSLA,2018-02-07 00:00:00+00:00,345.0,346.0,335.66,338.99,5846823,23.0,23.0666666667,22.3773333333,22.5993333333,87702345,0.0,1.0
TSLA,2018-02-08 00:00:00+00:00,315.23,348.62,314.6,343.31,9996464,21.0153333333,23.2413333333,20.9733333333,22.8873333333,149946960,0.0,1.0
TSLA,2018-02-09 00:00:00+00:00,310.42,320.98,294.76,319.93,12795099,20.6946666667,21.3986666667,19.6506666667,21.3286666667,191926485,0.0,1.0
TSLA,2018-02-12 00:00:00+00:00,315.73,318.08,306.25,316.13,6166161,21.0486666667,21.2053333333,20.4166666667,21.0753333333,92492415,0.0,1.0
TSLA,2018-02-13 00:00:00+00:00,323.66,324.19,312.51,315.02,4506915,21.5773333333,21.6126666667,20.834,21.0013333333,67603725,0.0,1.0
TSLA,2018-02-14 00:00:00+00:00,322.31,326.17,318.52,320.84,3930911,21.4873333333,21.7446666667,21.2346666667,21.3893333333,58963665,0.0,1.0
TSLA,2018-02-15 00:00:00+00:00,334.07,334.12,322.4,324.5,5892048,22.2713333333,22.2746666667,21.4933333333,21.6333333333,88380720,0.0,1.0
TSLA,2018-02-16 00:00:00+00:00,335.49,343.12,331.64,332.5,5585810,22.366,22.8746666667,22.1093333333,22.1666666667,83787150,0.0,1.0
TSLA,2018-02-20 00:00:00+00:00,334.77,340.84,331.5,334.47,3996951,22.318,22.7226666667,22.1,22.298,59954265,0.0,1.0
TSLA,2018-02-21 00:00:00+00:00,333.3,339.69,333.17,336.03,3181755,22.22,22.646,22.2113333333,22.402,47726325,0.0,1.0
TSLA,2018-02-22 00:00:00+00:00,346.17,347.44,334.75,335.53,6940349,23.078,23.1626666667,22.3166666667,22.3686666667,104105235,0.0,1.0
TSLA,2018-02-23 00:00:00+00:00,352.05,354.99,347.1,347.83,5790795,23.47,23.666,23.14,23.1886666667,86861925,0.0,1.0
TSLA,2018-02-26 00:00:00+00:00,357.42,359.0,352.36,353.5,4312871,23.828,23.9333333333,23.4906666667,23.5666666667,64693065,0.0,1.0
TSLA,2018-02-27 00:00:00+00:00,350.99,359.99,350.01,356.25,4761537,23.3993333333,23.9993333333,23.334,23.75,71423055,0.0,1.0
TSLA,2018-02-28 00:00:00+00:00,343.06,355.24,342.22,352.57,6042895,22.8706666667,23.6826666667,22.8146666667,23.5046666667,90643425,0.0,1.0
TSLA,2018-03-01 00:00:00+00:00,330.93,348.67,330.07,345.01,6885601,22.062,23.2446666667,22.0046666667,23.0006666667,103284015,0.0,1.0
TSLA,2018-03-02 00:00:00+00:00,335.12,335.22,322.97,326.98,5092829,22.3413333333,22.348,21.5313333333,21.7986666667,76392435,0.0,1.0
TSLA,2018-03-05 00:00:00+00:00,333.35,337.75,329.29,332.39,3823769,22.2233333333,22.5166666667,21.9526666667,22.1593333333,57356535,0.0,1.0
TSLA,2018-03-06 00:00:00+00:00,328.2,336.37,327.03,333.75,4285744,21.88,22.4246666667,21.802,22.25,64286160,0.0,1.0
TSLA,2018-03-07 00:00:00+00:00,332.3,332.5,321.74,325.44,5007297,22.1533333333,22.1666666667,21.4493333333,21.696,75109455,0.0,1.0
TSLA,2018-03-08 00:00:00+00:00,329.1,333.3,326.27,332.86,3476944,21.94,22.22,21.7513333333,22.1906666667,52154160,0.0,1.0
TSLA,2018-03-09 00:00:00+00:00,327.17,328.49,322.37,324.1,5479716,21.8113333333,21.8993333333,21.4913333333,21.6066666667,82195740,0.0,1.0
TSLA,2018-03-12 00:00:00+00:00,345.51,347.21,326.5,328.61,8212156,23.034,23.1473333333,21.7666666667,21.9073333333,123182340,0.0,1.0
TSLA,2018-03-13 00:00:00+00:00,341.84,347.21,326.5,328.61,5932110,22.7893333333,23.1473333333,21.7666666667,21.9073333333,88981650,0.0,1.0
TSLA,2018-03-14 00:00:00+00:00,326.63,339.81,323.93,336.76,7932511,21.7753333333,22.654,21.5953333333,22.4506666667,118987665,0.0,1.0
TSLA,2018-03-15 00:00:00+00:00,325.6,332.85,321.1,329.38,6366922,21.7066666667,22.19,21.4066666667,21.9586666667,95503830,0.0,1.0
TSLA,2018-03-16 00:00:00+00:00,321.35,327.4,319.07,322.93,6058612,21.4233333333,21.8266666667,21.2713333333,21.5286666667,90879180,0.0,1.0
TSLA,2018-03-19 00:00:00+00:00,313.56,320.75,309.67,316.5,7440766,20.904,21.3833333333,20.6446666667,21.1,111611490,0.0,1.0
TSLA,2018-03-20 00:00:00+00:00,310.55,316.25,308.76,314.87,4726182,20.7033333333,21.0833333333,20.584,20.9913333333,70892730,0.0,1.0
TSLA,2018-03-21 00:00:00+00:00,316.53,322.44,310.19,310.25,5927881,21.102,21.496,20.6793333333,20.6833333333,88918215,0.0,1.0
TSLA,2018-03-22 00:00:00+00:00,309.1,318.82,308.18,313.89,4914307,20.6066666667,21.2546666667,20.5453333333,20.926,73714605,0.0,1.0
